Cross_Validation	Asegurado_id	Ind_Ramo_Canal_Vigente	Meses_Antiguedad_Ramo_Canal	Canal_Agrup_Id	Ind_Exequial	Ind_Accidentes_Personales	Ind_Automoviles	Ind_Hogar	Ind_SuRenta	Ind_MasVida	Ind_Soat	Ind_Renta_Educativa	Ind_Otros_Personales	Ind_Salud	Ind_Otros_Empresariales	Ind_Arrendamiento	Ind_Renta_Pensional	Ind_Desempleo	Ind_Vida	Produccion_Emitida_Grupo_Cliente	Porc_RT_Grupo_Cliente	Frecuencia_Anual_Siniestros_Grupo_Cliente	Monto_Pagado_Siniestros_Grupo_Cliente	Recencia_Meses_Ultimo_Siniestros_Grupo_Cliente	Cont_Compania_Cliente	Regional_Contacto_id	Sexo_id	Edad	Numero_Hijos	Ind_Dependientes_Menores18	Ind_Dependientes_Mayores18	Nivel_Ingreso_id	Nivel_Estudios_id	Estado_Civil_id	Ind_Independiente	Cont_Quejas	Cont_Peticion	Cont_Inquietud	Ind_Tipo_Negocio_Colectivo	Ind_Forma_Pago_Mensual	Ind_Forma_Pago_Anual	Ind_Tipo_Pago_Caja_Sura	Ind_Tipo_Pago_Financiacion_Sura
0	26	1	22	24,390,649	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1,542,675.68	35	0.17	598,070.85	1.68	3	4	1	40	0	0	0	7	-1	1	0	0	0	0	1	1	0	1	0
1	27	0	12	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2,181,475.58	12.6	0	0	0	1	3	1	56	0	0	0	7	-1	-1	0	0	0	0	0	0	1	1	0
1	28	0	13	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	935,446.97	-1.51	0	0	0	1	4	2	32	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	29	0	5	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	870,545.99	-15.5	0.06	314,640.43	0.65	3	3	2	29	2	1	1	10	-1	5	0	0	3	0	1	1	0	1	0
0	30	0	12	24,390,653	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	720,702.64	7.49	0.23	-501,053.32	13.05	2	4	2	55	0	0	0	10	-1	1	0	0	0	0	1	1	0	1	0
0	31	1	3	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2,166,502.00	-22.53	0	0	0	1	5	1	30	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	32	1	5	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1,264,831.00	-1.46	0.15	781,588.36	1.28	3	5	1	53	1	0	1	8	3	1	0	0	2	0	1	1	0	1	0
1	33	1	36	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,605,273.81	42.99	0.22	516,480.39	1.95	2	2	1	39	0	0	0	7	-1	1	0	0	0	0	1	1	0	1	0
0	34	0	45	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	802,655.87	-69.74	0	0	0	1	3	1	29	0	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
0	35	0	36	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1,341,165.33	-15.36	0	0	0	1	5	2	46	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
0	36	0	19	24,390,649	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1,144,610.66	10.83	0.19	619,561.95	1.44	3	2	1	32	0	0	0	8	-1	1	0	0	0	0	1	1	0	1	0
0	37	0	48	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,843,447.61	-7.59	0.15	1,007,305.30	1.49	2	4	2	39	-1	0	0	7	-1	-1	0	0	0	0	0	0	1	1	0
0	38	0	24	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,370,108.48	46.49	0	0	0	1	3	2	43	1	0	0	7	-1	2	0	0	0	0	1	0	1	1	0
0	39	1	33	24,390,648	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	334,447.00	-15.1	0	0	0	2	2	1	50	1	0	0	10	-1	1	0	0	0	0	1	1	0	1	0
0	40	0	26	24,390,650	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,513,721.97	49.48	0	0	0	2	3	1	54	0	0	0	7	3	5	1	1	3	1	1	0	1	1	0
0	41	0	29	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1,922,914.78	11.07	1	0	112	1	4	2	49	2	0	1	7	-1	2	0	0	0	0	1	1	0	1	0
0	42	1	27	24,390,652	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,997,999.16	34.66	0	0	0	2	2	2	44	0	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	43	0	33	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	929,090.29	-14.32	0	0	0	1	4	1	51	0	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
0	44	0	36	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	713,543.28	7.49	0	0	0	1	2	1	-1	-1	0	0	99	-1	-1	0	0	0	0	1	0	1	0	0
1	45	0	6	24,390,652	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	458,717.88	47.14	0.02	48,325.20	0.17	2	5	2	29	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	46	1	57	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,030,376.00	14.12	0	0	0	1	5	2	60	0	0	0	8	-1	-1	0	0	0	0	0	0	1	1	0
0	47	0	56	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,437,076.24	-3.84	0.11	607,543.36	1.21	2	3	2	45	0	0	0	8	-1	-1	0	0	1	0	1	1	0	1	0
0	48	0	37	24,390,651	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	285,226.02	17.06	0	0	0	1	4	1	44	3	0	0	7	4	2	0	0	0	0	1	1	0	1	0
0	49	0	12	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	855,383.41	23.57	0	0	0	1	5	1	51	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
0	50	1	7	24,390,652	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	538,618.56	-4.5	0.06	172,923.45	0.57	3	2	1	25	0	0	0	10	3	-1	0	0	0	0	0	0	1	1	0
0	51	0	23	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,723,809.68	18.62	0	0	0	2	2	2	66	1	0	0	8	-1	3	0	0	0	1	1	1	0	1	0
0	52	1	8	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2,556,808.85	17.42	0	0	0	1	3	1	42	2	0	0	7	-1	2	0	0	0	0	1	1	0	1	0
0	53	1	59	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,390,818.00	-22.46	0	0	0	1	3	1	25	-1	0	1	8	-1	1	0	0	1	0	0	0	1	1	0
0	54	1	6	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1,201,371.03	26.87	0	0	0	1	5	1	31	-1	-1	-1	99	-1	-1	0	0	0	0	1	1	0	1	0
0	55	0	6	24,390,648	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1,022,694.03	6.45	1	30,522,552.00	8	2	4	2	25	-1	0	0	10	-1	-1	1	0	0	2	1	1	0	1	0
0	56	0	12	24,390,650	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	795,691.42	7.49	0	0	0	1	3	2	27	-1	0	0	7	-1	-1	0	0	0	0	1	1	0	1	0
0	57	1	1	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,223,345.42	-0.38	0.15	505,916.90	1.49	2	3	1	36	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	58	1	2	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	269,695.00	-6.66	0	0	0	2	3	1	30	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	59	0	7	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	829,864.62	25.01	0.16	1,098,789.52	1.27	3	5	1	26	0	0	0	8	-1	1	0	0	1	0	1	1	0	1	0
0	60	0	50	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2,455,385.73	-6.68	0.17	1,405,675.55	1.74	2	5	1	42	2	0	0	7	-1	2	0	0	0	0	0	0	1	1	0
0	61	1	2	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2,878,824.90	-45.66	0	0	0	1	3	2	55	0	0	0	8	-1	-1	0	0	0	0	1	0	1	0	0
0	62	1	3	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	780,073.30	-52.28	0.14	566,212.30	1.2	2	3	2	32	-1	-1	-1	10	-1	-1	0	0	0	0	1	1	0	1	0
0	63	1	9	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	607,984.00	5.79	0	0	0	2	2	1	29	0	0	1	10	3	1	0	0	0	0	1	1	0	1	0
0	64	0	41	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	718,991.40	-1.51	0.1	457,320.96	0.99	2	6	1	64	0	0	0	10	3	2	0	0	0	0	1	0	1	1	0
0	65	0	2	24,390,648	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1,494,928.70	-2.53	0.16	700,815.11	1.41	2	2	2	32	2	0	0	8	3	5	0	0	0	0	0	1	0	0	0
0	66	1	19	24,390,651	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	840,935.26	-31.17	0.2	611,497.90	1.73	2	2	2	32	1	1	0	10	3	1	1	0	0	1	1	1	0	1	0
0	67	1	11	24,390,652	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	694,535.00	11.16	0	0	0	1	3	2	38	-1	0	0	8	-1	-1	0	0	0	0	0	0	1	0	0
0	68	1	2	24,390,648	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	986,040.00	16.16	0	0	0	3	2	2	40	0	0	0	7	4	1	0	0	0	0	1	1	0	1	0
0	69	1	7	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,165,241.64	6.45	0.12	530,843.14	1.14	2	2	2	73	0	0	0	10	2	1	0	0	0	0	1	1	0	1	0
0	70	0	44	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,324,844.89	-17.21	0	0	0	1	3	1	31	0	0	0	8	-1	1	0	0	0	0	1	1	0	1	0
